k_bits,R_addresses,Q_H0_zJ,Q_H1_zJ,Q_noise_zJ
1,2,-0.007204516478896418,6.69030555183378,-0.005565793078383123
2,4,0.035099186254943154,13.391522049511568,-0.07486767071704788
3,8,0.016615917203385764,20.08348532162621,-0.010847934207259751
4,16,0.005794239335042754,26.80741781424676,0.05817793432995715
5,32,0.032831825339933444,33.500279018123976,-0.03691608011724103
6,64,-0.050733118374385856,40.2060215008627,0.06555404136020242
