k_Mpc_inv,Pk_z0,Pk_z05,Pk_z1
0.0001,3.081121695372055e-08,1.8794842341769535e-08,1.1400150272876603e-08
0.00010392556829367131,3.198019496072292e-08,1.9507918926040983e-08,1.183267213546748e-08
0.00010800523745162529,3.319363415215106e-08,2.0248116832812145e-08,1.2281644636295892e-08
0.0001122450568085307,3.445323420917665e-08,2.101647286759776e-08,1.2747696657395361e-08
0.00011665131316981962,3.5760760464147454e-08,2.1814063883129947e-08,1.3231481371734558e-08
0.00012123054013376529,3.711804648889841e-08,2.264200835822803e-08,1.3733677200892411e-08
0.0001259895277795027,3.852699678914521e-08,2.350146804137858e-08,1.4254988811983727e-08
0.0001309353327353611,3.998958960961455e-08,2.4393649661864875e-08,1.4796148155557384e-08
0.00013607528864243332,4.1507879854787165e-08,2.531980671142017e-08,1.535791554627125e-08
0.0001414170170289024,4.308400213037218e-08,2.628124129952703e-08,1.5941080788237706e-08
0.0001469684386112446,4.472017391087951e-08,2.72793060856365e-08,1.654646434702542e-08
0.0001527377850390714,4.641869883892584e-08,2.8315406291744762e-08,1.717491857040256e-08
0.00015873361110102087,4.818197016218833e-08,2.939100179893488e-08,1.7827328960009682e-08
0.00016496480740980208,5.001247431421818e-08,3.050760933167309e-08,1.8504615496260724e-08
0.00017144061358519703,5.191279464563909e-08,3.1666804733839844e-08,1.9207734018886463e-08
0.00017817063195457307,5.3885615312588056e-08,3.2870225340678714e-08,1.993767766565758e-08
0.0001851648417912154,5.593372532960545e-08,3.4119572451059325e-08,2.0695478371954016e-08
0.000192433614111598,5.8060022794554504e-08,3.541661390467825e-08,2.1482208433985166e-08
0.0001999877270535287,6.026751929354116e-08,3.6763186769060106e-08,2.229898213861023e-08
0.00020783838185797573,6.255934449422315e-08,3.816120014147612e-08,2.3146957462862565e-08
0.0002159972194782717,6.493875093633725e-08,3.961263807116572e-08,2.402733784644478e-08
0.0002244763378413224,6.740911902874065e-08,4.1119562607531794e-08,2.4941374040634038e-08
0.00023328830978641582,6.997396226275768e-08,4.268411698028218e-08,2.589036603722034e-08
0.00024244620170823283,7.263693265214987e-08,4.4308528917811416e-08,2.687566508129545e-08
0.00025196359293170163,7.540182641058157e-08,4.5995114110454757e-08,2.789867577191518e-08
0.00026185459584742327,7.827258987804697e-08,4.7746279825608654e-08,2.896085825487738e-08
0.0002721338768375309,8.125332570835153e-08,4.956452868209443e-08,3.0063730512090064e-08
0.0002828166780230032,8.434829933040641e-08,5.145246259154791e-08,3.1208870752250374e-08
0.0002939188398646887,8.756194569680404e-08,5.341278687505046e-08,3.2397919907817495e-08
0.0003054568246515432,9.08988763338932e-08,5.544831456367485e-08,3.363258424354048e-08
0.00031744774091091937,9.436388670837492e-08,5.75619708921087e-08,3.491463808209872e-08
0.0003299093687770939,9.796196392628636e-08,5.975679799503469e-08,3.6245926652725954e-08
0.00034286018635565867,1.0169829478115079e-07,6.203595981650197e-08,3.762836906902579e-08
0.00035631939712285843,1.0557827416902529e-07,6.440274724310542e-08,3.9063961442539354e-08
0.0003703069584005141,1.0960751388921264e-07,6.686058347241971e-08,4.055478013900868e-08
0.0003848436109487433,1.137918518504845e-07,6.941302962879554e-08,4.2102985184679264e-08
0.0003999509097203665,1.1813736170383064e-07,7.206379063933669e-08,4.371082383041734e-08
0.0004156512558225988,1.226503629239846e-07,7.481672138363061e-08,4.5380634281874304e-08
0.0004319679297334174,1.273374313632921e-07,7.767583313160818e-08,4.711484960441808e-08
0.00044892512582186077,1.3220541030289543e-07,8.064530028476621e-08,4.891600181207131e-08
0.0004665479882234473,1.3726142202770607e-07,8.37294674369007e-08,5.0786726150251246e-08
0.0004848626481239078,1.4251287995323136e-07,8.693285677147112e-08,5.27297655826956e-08
0.000503896262506515,1.479675013340289e-07,9.026017581375763e-08,5.474797549359069e-08
0.0005236770544204656,1.5363332058537532e-07,9.371632555707894e-08,5.684432861658887e-08
0.0005442343548300267,1.5951870325168218e-07,9.730640898352612e-08,5.9021920203122403e-08
0.0005655986461065008,1.6563236065725754e-07,1.0103574000092709e-07,6.128397344318528e-08
0.0005878016072274912,1.7198336527722106e-07,1.0490985281910484e-07,6.363384515257179e-08
0.0006108761607505039,1.7858116686875052e-07,1.0893451178993782e-07,6.60750317414377e-08
0.0006348565216305217,1.8543560940534519e-07,1.1311572173726056e-07,6.861117547997772e-08
0.000659778247953954,1.9255694885949946e-07,1.1745973880429467e-07,7.12460710780148e-08
0.0006856782936641738,1.9995587188204686e-07,1.2197308184804857e-07,7.398367259635734e-08
0.000712595063356841,2.0764351542951894e-07,1.2666254441200655e-07,7.682810070892201e-08
0.0007405684692262435,2.1563148739414344e-07,1.315352073104275e-07,7.978365033583307e-08
0.0007696399902471159,2.239318882946301e-07,1.3659845185972437e-07,8.285479866901314e-08
0.0007998527336796708,2.3255733408963597e-07,1.4185997379467793e-07,8.60462136131653e-08
0.0008312514989890632,2.415209801798406e-07,1.4732779790970278e-07,8.936276266654103e-08
0.0008638828442740454,2.508365466688314e-07,1.5301029346798715e-07,9.280952226746762e-08
0.0008977951553033323,2.6051834495762023e-07,1.5891619042414833e-07,9.639178763431948e-08
0.0009330387172620361,2.705813057525127e-07,1.6505459650903274e-07,1.0011508312842969e-07
0.0009696657893145521,2.810410085713092e-07,1.714350152284986e-07,1.039851731713844e-07
0.0010077306820944617,2.919137128384513e-07,1.7806736483145527e-07,1.0800807375022696e-07
0.0010472898382363584,3.0321639066573123e-07,1.8496199830609603e-07,1.1219006454632055e-07
0.0010884019160690055,3.149667614216316e-07,1.9212972446719525e-07,1.1653770172600369e-07
0.0011311278765939214,3.2718332819923565e-07,1.9958183020153374e-07,1.2105783143371718e-07
0.0011755310738783698,3.398854163000299e-07,2.0733010394301824e-07,1.2575760403101107e-07
0.0012216773489967918,3.5309321385879363e-07,2.1538686045386412e-07,1.3064448912775365e-07
0.0012696351276599727,3.6682781474320415e-07,2.2376496699335453e-07,1.3572629145498553e-07
0.001319475521676706,3.811112638708044e-07,2.3247787096119065e-07,1.4101116763219761e-07
0.001371272434398401,3.95966605095633e-07,2.4153962910833616e-07,1.4650764388538422e-07
0.0014251026703029977,4.1141793182712765e-07,2.5096493841454786e-07,1.5222463477603724e-07
0.0014810460488806755,4.2749044055494854e-07,2.6076916873851863e-07,1.5817146300533097e-07
0.0015391855229902054,4.4421048746516286e-07,2.7096839735374934e-07,1.6435788036211025e-07
0.001599607301861488,4.616056483458507e-07,2.8157944549096895e-07,1.7079408988796475e-07
0.0016624009789266135,4.797047819936523e-07,2.926199170161279e-07,1.7749076933765133e-07
0.0017276596646690365,4.985380973471947e-07,3.041082393817887e-07,1.8445909601846204e-07
0.0017954801246878305,5.181372245887066e-07,3.16063706999111e-07,1.9171077309782147e-07
0.001865962923181746,5.385352904715552e-07,3.285065271876487e-07,1.9925805747447542e-07
0.001939212572065831,5.597669981489672e-07,3.4145786887086997e-07,2.0711378931511787e-07
0.002015337685941733,5.818687117979217e-07,3.549399141967322e-07,2.1529142336523102e-07
0.0020944511431514688,6.048785463521203e-07,3.689759132747934e-07,2.238050621502845e-07
0.002176670253153459,6.288364626792338e-07,3.835902422343326e-07,2.3266949119131648e-07
0.0022621169304690263,6.537843685602556e-07,3.988084648217559e-07,2.4190021636729456e-07
0.0023509178754572866,6.797662258529355e-07,4.1465739777029067e-07,2.5151350356558614e-07
0.0024432047621864867,7.068281642469014e-07,4.3116518019060984e-07,2.615264207713535e-07
0.002539114433680347,7.350186020453692e-07,4.483613472476752e-07,2.719568827567866e-07
0.0026387891048289345,7.643883744373043e-07,4.662769084067556e-07,2.8282369854180257e-07
0.0027423765732649493,7.949908697546412e-07,4.849444305503311e-07,2.941466218092172e-07
0.0028500304385181054,8.268821742417558e-07,5.04398126287471e-07,3.0594640446944963e-07
0.0029619103297725533,8.601212258988491e-07,5.246739477982979e-07,3.1824485358257417e-07
0.00307818214256508,8.947699779973969e-07,5.458096865784121e-07,3.3106489185903684e-07
0.0031990182847750673,9.308935729043015e-07,5.67845079471624e-07,3.4443062197459155e-07
0.0033245979322709418,9.685605268919232e-07,5.908219214040732e-07,3.583673949500116e-07
0.003455107294592218,1.007842926653869e-06,6.147841852588601e-07,3.729018828619315e-07
0.003590739891061055,1.048816638291157e-06,6.397781493576058e-07,3.8806215616772807e-07
0.0037316968377327556,1.0915615295802849e-06,6.658525330439737e-07,4.038777659447054e-07
0.0038781871456107235,1.1361617063836935e-06,6.93058640894053e-07,4.203798313619666e-07
0.004030428030568051,1.1827057641140484e-06,7.214505161095695e-07,4.376011327221979e-07
0.004188645235435271,1.2312870552166404e-06,7.510851036821506e-07,4.5557621043015697e-07
0.004353073364731892,1.2820039736887929e-06,7.820224239501637e-07,4.7434147026485337e-07
0.004523956232538054,1.3349602577113042e-06,8.143257572038956e-07,4.939352953531825e-07
0.004701547224022129,1.3902653115242987e-06,8.480618400298222e-07,5.143981652639905e-07
0.004886109671160326,1.4480345477381289e-06,8.833010741202586e-07,5.357727826631076e-07
0.005077917243205403,1.508389751328624e-06,9.201177483104607e-07,5.581042079915909e-07
0.0052772543524835375,1.5714594666245378e-06,9.58590274640968e-07,5.81440002651079e-07
0.005484416576121015,1.6373794086526586e-06,9.988014392781217e-07,6.058303812014837e-07
0.005699711094326075,1.7062929002619616e-06,1.0408386691597966e-06,6.313283730969258e-07
0.005923457145875806,1.7783513365013508e-06,1.084794315265824e-06,6.579899945054998e-07
0.006155986501483508,1.8537146777745715e-06,1.1307659534424886e-06,6.858744307765914e-07
0.006397643955748424,1.9325519733393727e-06,1.1788567037370174e-06,7.150442301355679e-07
0.006648787838417263,2.0150419167540514e-06,1.2291755692199713e-06,7.45565509198999e-07
0.006909790545715645,2.101373434901062e-06,1.281837795289648e-06,7.77508170913393e-07
0.007181039092537356,2.191746312231776e-06,1.3369652504613835e-06,8.109461355257572e-07
0.007462935686310138,2.2863718518757278e-06,1.394686829644194e-06,8.459575851940193e-07
0.007755898323389002,2.3854735752383735e-06,1.455138880895408e-06,8.826252228381982e-07
0.008060361408861344,2.4892879616692046e-06,1.5184656566182147e-06,9.210365458176057e-07
0.008376776400682925,2.5980652297123358e-06,1.5848197901245247e-06,9.612841349935642e-07
0.008705612479099865,2.7120701613487776e-06,1.6543627984227543e-06,1.0034659596990477e-06
0.009047357242349292,2.8315829704969267e-06,1.7272656120031253e-06,1.0476856990838629e-06
0.009402517429670132,2.956900216847943e-06,1.8037091322772452e-06,1.0940530802337388e-06
0.009771619672696182,3.0883357658669113e-06,1.8838848171788158e-06,1.142684233370757e-06
0.010155211276345682,3.2262217954791107e-06,1.9679952952422574e-06,1.193702064327271e-06
0.010553861030365241,3.3709098495717145e-06,2.056255008238746e-06,1.2472366443415343e-06
0.01096816005273138,3.5227719379617853e-06,2.148890882156689e-06,1.3034256170458606e-06
0.011398722666160526,3.682201681897048e-06,2.246143025957199e-06,1.3624146223019077e-06
0.011846187309026836,3.849615503448656e-06,2.34826545710368e-06,1.4243577362760026e-06
0.012311217482038908,4.025453856307198e-06,2.4555268523473907e-06,1.4894179268336633e-06
0.012794502732078734,4.2101824944814715e-06,2.5682113216336977e-06,1.5577675229581445e-06
0.013296759674662127,4.404293774201161e-06,2.6866192022627083e-06,1.6295886964544295e-06
0.013818733056536322,4.608307982911022e-06,2.8110678695757235e-06,1.7050739536770782e-06
0.014361196859990788,4.822774687586681e-06,2.9418925594278757e-06,1.784426634407072e-06
0.014924955450518291,5.048274092665813e-06,3.0794471965261457e-06,1.8678614142863507e-06
0.015510844769528406,5.2854183956380675e-06,3.224105221339221e-06,1.955604806386085e-06
0.01611973357388157,5.534853125731298e-06,3.3762604066960916e-06,2.0478956565205803e-06
0.016752524724082157,5.797258448128359e-06,3.536327653358299e-06,2.1449856258074927e-06
0.017410156523040152,6.073350412700388e-06,3.7047437517472367e-06,2.2471396526991434e-06
0.018093604107387164,6.3638821223016466e-06,3.881968094604004e-06,2.354636385251609e-06
0.018803880893409147,6.6696447911849395e-06,4.068483322622813e-06,2.4677685727384275e-06
0.019542040079740534,6.991468659015484e-06,4.2647958819994455e-06,2.5868434038357292e-06
0.020309176209047347,7.330223720230832e-06,4.471436469340807e-06,2.7121827764854077e-06
0.02110642679101555,7.686820222067987e-06,4.688960335461472e-06,2.844123482165155e-06
0.021934973989050602,8.062208877408725e-06,4.917947415219322e-06,2.983017284641228e-06
0.0227960463731898,8.457380730645343e-06,5.1590022456936595e-06,3.129230870338777e-06
0.023690920741826344,8.873366606013777e-06,5.412753629668403e-06,3.2831456442250972e-06
0.024620924014946255,9.311236058271845e-06,5.679853995545825e-06,3.4451573415605827e-06
0.025587435201685892,9.772095735230935e-06,5.96097839849087e-06,3.6156754220354457e-06
0.026591887445126937,1.025708705052328e-05,6.2568231008192015e-06,3.7951222086936137e-06
0.027635770147361603,1.0767383053190354e-05,6.568103662446116e-06,3.983931729680431e-06
0.02872063117797828,1.1304184368343259e-05,6.8955524646893874e-06,4.182548216287006e-06
0.029848079169243275,1.1868714070474175e-05,7.239915582989246e-06,4.391424206075444e-06
0.031019785901380968,1.2462211338262498e-05,7.6019489163401235e-06,4.611018195157124e-06
