ell,Cl_BB,Dl_BB,Cl_TT_tensor
350,3.536967753722144e-27,6.915544700683233e-23,2.0380049260467384e-27
351,3.512473994724755e-27,6.906897787979392e-23,2.0230484811722602e-27
352,3.4882063335118685e-27,6.898261709416466e-23,2.0082343130190005e-27
353,3.464162107072308e-27,6.889636451264971e-23,1.993560718904047e-27
354,3.4403386908261596e-27,6.881021999814243e-23,1.9790260209450855e-27
355,3.416733497966653e-27,6.872418341372399e-23,1.9646285656331755e-27
356,3.393343978815087e-27,6.863825462266292e-23,1.9503667234140298e-27
357,3.370167620188517e-27,6.855243348841479e-23,1.9362388882776133e-27
358,3.347201944779912e-27,6.846671987462175e-23,1.922243477355865e-27
359,3.3244445105504875e-27,6.838111364511196e-23,1.9083789305283664e-27
360,3.301892910133978e-27,6.829561466389947e-23,1.894643710035774e-27
361,3.279544770252549e-27,6.821022279518358e-23,1.881036300100844e-27
362,3.257397751144099e-27,6.812493790334857e-23,1.8675552065568832e-27
363,3.235449546000712e-27,6.803975985296323e-23,1.854198956483455e-27
364,3.213697880417996e-27,6.795468850878048e-23,1.8409660978491833e-27
365,3.1921405118550816e-27,6.7869723735737e-23,1.827855199161498e-27
366,3.170775229105032e-27,6.778486539895279e-23,1.8148648491231667e-27
367,3.149599851775456e-27,6.770011336373084e-23,1.801993656295462e-27
368,3.1286122297790794e-27,6.76154674955567e-23,1.7892402487678263e-27
369,3.107810242834074e-27,6.753092766009813e-23,1.7766032738338826e-27
370,3.0871917999739173e-27,6.744649372320465e-23,1.7640813976736553e-27
371,3.066754839066599e-27,6.736216555090727e-23,1.751673305041878e-27
372,3.0464973263429398e-27,6.727794300941804e-23,1.7393776989622285e-27
373,3.0264172559338562e-27,6.719382596512965e-23,1.727193300427398e-27
374,3.0065126494163603e-27,6.710981428461513e-23,1.7151188481048368e-27
375,2.986781555368118e-27,6.70259078346275e-23,1.7031530980480766e-27
376,2.9672220489303677e-27,6.694210648209928e-23,1.691294823413495e-27
377,2.9478322313790413e-27,6.685841009414221e-23,1.679542814182417e-27
378,2.9286102297038967e-27,6.677481853804695e-23,1.667895876888428e-27
379,2.909554196195494e-27,6.669133168128256e-23,1.6563528343497995e-27
380,2.8906623080398616e-27,6.660794939149632e-23,1.64491252540691e-27
381,2.8719327669206684e-27,6.652467153651322e-23,1.6335738046645544e-27
382,2.8533637986287656e-27,6.644149798433571e-23,1.6223355422390483e-27
383,2.8349536526789295e-27,6.635842860314329e-23,1.611196623510017e-27
384,2.816700601933658e-27,6.627546326129225e-23,1.6001559488767703e-27
385,2.7986029422338695e-27,6.619260182731517e-23,1.589212433519174e-27
386,2.780658992036377e-27,6.610984416992075e-23,1.5783650071629225e-27
